Date,Category,Amount
2022-03-02,Food,50.0
2022-03-02,Other,300.0
2022-03-01,Food,78.0
2022-03-01,Transportation,30.0
2022-03-01,Food,67.0
2022-02-28,Food,339.15
2022-02-27,Food,243.0
2022-02-26,Food,25.0
2022-02-26,Other,100.0
2022-02-26,Social Life,1700.0
2022-02-26,Food,40.0
2022-02-26,Food,84.0
2022-02-25,Food,33.0
2022-02-24,Household,303.0
2022-02-24,Food,289.0
2022-02-24,Food,324.7
2022-02-23,Apparel,399.0
2022-02-23,Food,83.0
2022-02-23,Apparel,399.0
2022-02-22,Transportation,120.0
2022-02-21,Transportation,1300.0
2022-02-21,Transportation,138.0
2022-02-21,Household,336.0
2022-02-21,Transportation,201.8
2022-02-20,Food,200.0
2022-02-19,Food,111.0
2022-02-19,Food,250.0
2022-02-19,Transportation,1575.0
2022-02-19,Transportation,200.0
2022-02-19,Food,380.0
2022-02-19,Transportation,60.0
2022-02-19,Other,50.0
2022-02-19,Transportation,270.0
2022-02-18,Food,348.0
2022-02-17,Food,80.0
2022-02-16,Food,165.0
2022-02-16,Food,475.0
2022-02-13,Social Life,100.0
2022-02-12,Food,491.0
2022-02-12,Household,70.0
2022-02-12,Food,80.0
2022-02-11,Food,373.0
2022-02-10,Food,641.0
2022-02-08,Household,2099.0
2022-02-07,Transportation,214.0
2022-02-06,Food,125.0
2022-02-06,Food,150.0
2022-02-06,Transportation,1000.0
2022-02-06,Other,1500.0
2022-02-04,Food,80.0
2022-02-03,Food,50.0
2022-02-03,Other,150.0
2022-02-02,Food,120.0
2022-01-31,Transportation,50.0
2022-01-31,Other,200.0
2022-01-31,Transportation,153.0
2022-01-30,Food,155.0
2022-01-30,Food,120.0
2022-01-30,Food,105.0
2022-01-29,Transportation,44.0
2022-01-29,Other,100.0
2022-01-28,Food,10.0
2022-01-28,Food,138.0
2022-01-27,Transportation,43.0
2022-01-27,Other,300.0
2022-01-27,Other,100.0
2022-01-27,Food,279.0
2022-01-26,Food,115.0
2022-01-26,Food,25.0
2022-01-25,Food,259.0
2022-01-25,Food,18.0
2022-01-25,Transportation,325.0
2022-01-24,Food,40.0
2022-01-24,Food,133.0
2022-01-23,Food,40.0
2022-01-23,Food,465.0
2022-01-23,Food,300.0
2022-01-23,Food,302.0
2022-01-23,Food,176.0
2022-01-23,Social Life,200.0
2022-01-21,Food,188.0
2022-01-21,Food,37.0
2022-01-19,Food,171.0
2022-01-18,Food,301.15
2022-01-18,Food,59.0
2022-01-18,Food,148.0
2022-01-18,Other,200.0
2022-01-17,Food,100.0
2022-01-15,Transportation,1365.0
2022-01-15,Food,70.0
2022-01-14,Food,1530.0
2022-01-13,Food,66.0
2022-01-13,Transportation,43.0
2022-01-12,Other,479.0
2022-01-12,Food,301.75
2022-01-11,Food,135.5
2022-01-10,Food,106.0
2022-01-08,Food,535.3
2022-01-08,Household,4580.0
2022-01-07,Food,15.0
2022-01-06,Food,20.0
2022-01-06,Food,877.81
2022-01-06,Food,10.0
2022-01-06,Transportation,42.0
2022-01-05,Food,211.0
2022-01-05,Other,40.0
2022-01-05,Other,30.0
2022-01-05,Food,354.0
2022-01-05,Other,500.0
2022-01-05,Other,500.0
2022-01-05,Transportation,60.0
2022-01-05,Food,388.0
2022-01-04,Education,1400.0
2022-01-04,Food,106.0
2022-01-04,Other,80.0
2022-01-04,Food,107.0
2022-01-03,Food,10.0
2022-01-03,Food,300.0
2022-01-02,Other,8.0
2022-01-02,Food,200.0
2022-01-02,Transportation,725.0
2022-01-01,Food,85.0
2021-12-30,Food,20.0
2021-12-30,Transportation,43.0
2021-12-30,Food,25.0
2021-12-30,Transportation,199.0
2021-12-30,Food,20.0
2021-12-30,Transportation,286.0
2021-12-28,Food,14.0
2021-12-27,Food,115.0
2021-12-27,Food,50.0
2021-12-25,Food,504.0
2021-12-25,Transportation,306.0
2021-12-25,Self-development,400.0
2021-12-25,Food,30.0
2021-12-25,Food,30.0
2021-12-25,Food,40.0
2021-12-24,Social Life,150.0
2021-12-24,Food,262.0
2021-12-23,Food,15.0
2021-12-23,Food,32.0
